SU,Site,WaveHeight
2281472,Daytona,0.934487408
2283520,Daytona,0.720626624
2285568,Daytona,0.918331204
2287616,Daytona,0.975155019
2289664,Daytona,0.836152634
2291712,Daytona,0.967056258
2293760,Daytona,0.849771878
2295808,Daytona,0.860697322
2297856,Daytona,0.861915793
2299904,Daytona,0.781294954
2301952,Daytona,0.857406979
2304000,Daytona,0.823324756
2306048,Daytona,0.783056832
2308096,Daytona,0.926125666
2310144,Daytona,1.09712292
2312192,Daytona,0.881062266
2314240,Daytona,0.834503508
2316288,Daytona,0.836810293
2318336,Daytona,0.897704551
2320384,Daytona,0.838674268
2322432,Daytona,0.826090825
2324480,Daytona,0.782923161
2326528,Daytona,0.852093144
2328576,Daytona,0.786929243
2330624,Daytona,0.883812003
2332672,Daytona,0.770110696
2334720,Daytona,0.869308169
2336768,Daytona,0.753769146
2338816,Daytona,0.70435141
2340864,Daytona,0.753106455
2342912,Daytona,0.89622091
2344960,Daytona,0.914003843
2347008,Daytona,0.872202175
2349056,Daytona,0.941520503
2351104,Daytona,0.863532751
2353152,Daytona,0.819070349
2355200,Daytona,0.802153437
2357248,Daytona,0.836320734
2359296,Daytona,0.803821582
2361344,Daytona,0.821713677
2363392,Daytona,0.755699255
2365440,Daytona,0.760153418
2367488,Daytona,0.814452589
2369536,Daytona,0.792758365
2371584,Daytona,0.801159412
2373632,Daytona,0.777614704
2375680,Daytona,0.817404883
2377728,Daytona,0.805644668
2379776,Daytona,0.782892978
2381824,Daytona,0.765488927
2383872,Daytona,0.774208116
2385920,Daytona,0.718653795
2387968,Daytona,0.666174592
2390016,Daytona,0.764640689
2392064,Daytona,0.79911642
2394112,Daytona,0.779175098
2396160,Daytona,0.79366431
2398208,Daytona,0.734340552
2400256,Daytona,0.777112868
2402304,Daytona,0.655669162
2404352,Daytona,0.806347356
2406400,Daytona,0.764349762
2408448,Daytona,0.790589135
2410496,Daytona,0.74842669
2412544,Daytona,0.738591888
2414592,Daytona,0.747849037
2416640,Daytona,0.867168392
2418688,Daytona,0.771148056
2420736,Daytona,0.835264851
2422784,Daytona,0.764322986
2424832,Daytona,0.7750084
2426880,Daytona,0.817411402
2428928,Daytona,0.75276567
2430976,Daytona,0.839880618
2433024,Daytona,0.743385094
2435072,Daytona,0.732693345
2437120,Daytona,0.74550375
2439168,Daytona,0.744325814
2441216,Daytona,0.803763268
2443264,Daytona,0.700911677
2445312,Daytona,0.813232276
2447360,Daytona,0.703629778
2449408,Daytona,0.789813137
2451456,Daytona,0.697540393
2453504,Daytona,0.736545743
2455552,Daytona,0.779149009
